Muon#,Angle [deg],energy [GeV],entry [mm],exit [mm]
1,1.0,0.113210546075,[ 2.75029929 -2.53245717  6.62239145],[-6.20511885 -3.55065864 -3.03538624]
2,1.0,0.49844087647,[ 2.79676782  6.16407886 -4.38828715],[ 1.25580076  5.32536166 -6.67194249]
8,1.0,0.570769836463,[-5.58443871 -4.46559445  6.61791792],[ 6.20234002  3.10216818 -6.23997742]
9,1.0,0.419822441696,[-2.17872116 -6.16304081 -2.33963153],[ 1.86062057 -4.36004186 -6.68627945]
13,1.0,0.0503157982557,[ 0.28270662 -1.66596404  6.61637849],[-0.64722034 -1.71279358 -6.68676408]
14,1.0,0.201263193023,[-5.3932018   1.20644141  6.61375173],[-6.18682217  1.04452264  5.20281836]
15,1.0,0.0581776417331,[ 6.15370436  4.26387703 -1.0884121 ],[ 2.91714858  4.07536912 -6.67893779]
17,1.0,0.174532925199,[-1.15465153 -1.29970965  6.62748046],[-4.45792124 -1.88216523 -6.68712036]
18,1.0,0.0220131617369,[-3.01159472  6.17179017 -3.92622528],[-5.20457409  6.12350796 -6.68555659]
19,1.0,0.424539547782,[-0.03269338  4.21863858  6.62001873],[-6.19772561  1.4318683  -0.39644064]
